Protein,Cellobiose,Ferulic_Acid,Galacturonic_acid,Glucose,Laminaribiose,Mannuronic_acid,Xylobiose
seq_3,-4.541,-4.418,-3.836,-4.515,-4.364,-5.095,-4.297
seq_5,-5.712,-5.766,-4.873,-4.35,-5.697,-4.612,-5.712
