Protein,Ligand,Affinity (kcal/mol)
seq_3,Xylobiose,-4.297
seq_3,Ferulic_Acid,-4.418
seq_3,Cellobiose,-4.541
seq_3,Glucose,-4.515
seq_3,Galacturonic_acid,-3.836
seq_3,Mannuronic_acid,-5.095
seq_3,Laminaribiose,-4.364
seq_5,Xylobiose,-5.712
seq_5,Ferulic_Acid,-5.766
seq_5,Cellobiose,-5.712
seq_5,Glucose,-4.35
seq_5,Galacturonic_acid,-4.873
seq_5,Mannuronic_acid,-4.612
seq_5,Laminaribiose,-5.697
